kind,entityType,entityId,sku,actionType,currentBid,suggestedBid,text,campaignName,groupName,campaignId,adGroupId,accountId,siteId,spend30,clicks30,orders30,acos30,spend7,clicks7,orders7,acos7,reasonCode,hit,habit,marketBucket,reopenRule,priority
auto,autoTarget,457712692672203,UAN2600,pause,0.12,,Substitutes,auto_journals in bulk_uan2600,auto_journals in bulk_uan2600,453571228298432,458417310723375,515,4,1.42,12,0,,0.36,3,0,,no_order_hard_stop,30d_zero_order clicks=12 spend=1.42,auto_loose_or_substitutes_uncontrolled,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,393
kw,keyword,430820099763510,YYW2630,bid,0.11,0.09,baby shower teddy bear,baby shower teddy bear-yyw2630-system-keyword,baby shower teddy bear-yyw2630-system-keyword,555893581245186,398412201564415,693,4,1.4,14,1,0.027456,0.22,2,0,,persistently_low_small_step,15d_zero_order clicks=8 spend=0.82,kw_zero_order_or_high_acos_not_stopped,baby_shower_party_competition_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,394
auto,autoTarget,405473638449816,SHQ3375,pause,0.22,,Close-match,auto_wooden cars to paint_shq3375,wooden cars to paint-shq3375-system-a,302585800497225,402912756264781,803,4,1.4,8,0,,1.4,8,0,,cooldown_override_30d_zero_order_hard_stop,7d_zero_order clicks=8 spend=1.40,auto_zero_order_not_closed,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,395
auto,autoTarget,471854907814313,JUU1053,pause,0.16,,Substitutes,auto_cakesicle stand_juu1053,auto_cakesicle stand_juu1053,12169774350073,420088382255533,567,4,1.4,9,0,,1.08,7,0,,residual_30d_zero_order_hard_stop,7d_zero_order clicks=7 spend=1.08,auto_loose_or_substitutes_uncontrolled,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,396
auto,autoTarget,508926717319525,TIN2239,bid,0.2,0.1,Substitutes,auto_duck tags_tin2239,auto_duck tags_tin2239,357277512004999,294811635536100,510,4,1.4,8,0,,0.4,2,0,,no_order_bid_down,30d_zero_order clicks=8 spend=1.40,auto_loose_or_substitutes_uncontrolled,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,397
auto,autoTarget,320546582023600,KA1589,bid,0.17,0.07,Substitutes,auto_artificial foam rose flowers_ka1589,auto_artificial foam rose flowers_ka1589,387268597597781,433366754292225,135,4,1.36,8,0,,0.34,2,0,,no_order_bid_down,30d_zero_order clicks=8 spend=1.36,auto_loose_or_substitutes_uncontrolled,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,398
auto,autoTarget,521696217021463,YAN2061,pause,0.07,,Complements,auto_dirty diaper baby shower_yan2061,auto_dirty diaper baby shower_yan2061,464355787049013,405131071271942,423,4,1.33,19,0,,1.19,17,0,,residual_30d_zero_order_hard_stop,7d_zero_order clicks=17 spend=1.19,auto_zero_order_not_closed,baby_shower_party_competition_fit_gap,do_not_reopen_without_fresh_market_and_exact_conversion_proof,399
sbKw,sbKeyword,446941232636372,TIN2239,pause,0.18,,cruise ship ducks pack,cruise duck tags tin2239-sb2,,534377427541883,371445822194682,510,4,1.33,8,0,,1.33,8,0,,cooldown_override_30d_zero_order_hard_stop,7d_zero_order clicks=8 spend=1.33,sbv_or_sb_keyword_spend_not_closed,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,400
auto,autoTarget,442842832337101,COO1855,bid,0.2,0.02,Complements,auto_q2 profit coo1855 auto_coo1855,auto_q2 profit coo1855 auto_coo1855,159436999766996,517052690402814,652,4,1.32,7,0,,1.32,7,0,,residual_30d_zero_order_heavy_cut,7d_zero_order clicks=7 spend=1.32,auto_zero_order_not_closed,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,401
kw,keyword,354077190880415,XIA1681,pause,0.11,,elephant gift,kw phrase_luck charm elephant_xia1681,kw phrase_luck charm elephant_xia1681,112545975738851,298874718302637,426,4,1.28,12,0,,1.09,10,0,,cooldown_override_30d_zero_order_hard_stop,7d_zero_order clicks=10 spend=1.09,phrase_kw_not_stopped_at_7_15d,unclassified_low_efficiency_tail,reopen_only_after_recent_conversion_proof,402
